when                ,total_error ,average_error ,avg_runtime ,multithreaded ,cannyify_image ,thin_image ,refined_votes ,n_average_segment_tips ,trim_segment_edges ,manysegs_average_segments ,use_average_theta ,faster_nearest_idx
2024-04-21 17:07:29 ,       3.70 ,         0.37 ,       4.52 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,True                      ,True              ,False
2024-04-21 17:07:33 ,       0.51 ,         0.05 ,       3.11 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,True                      ,False             ,True
2024-04-21 17:07:38 ,       0.78 ,         0.08 ,       4.56 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,True                      ,False             ,False
2024-04-21 17:07:42 ,       4.06 ,         0.41 ,       3.24 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,False                     ,True              ,True
2024-04-21 17:07:47 ,       3.70 ,         0.37 ,       4.59 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,False                     ,True              ,False
2024-04-21 17:07:51 ,       2.79 ,         0.28 ,       3.22 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,False                     ,False             ,True
2024-04-21 17:07:56 ,       3.70 ,         0.37 ,       4.57 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,False                     ,False             ,False
2024-04-21 17:08:00 ,       4.06 ,         0.41 ,       3.18 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,True                      ,True              ,True
2024-04-21 17:08:05 ,       3.70 ,         0.37 ,       4.55 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,True                      ,True              ,False
2024-04-21 17:08:09 ,       0.51 ,         0.05 ,       3.23 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,True                      ,False             ,True
2024-04-21 17:08:14 ,       0.78 ,         0.08 ,       4.54 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,True                      ,False             ,False
2024-04-21 17:08:18 ,       4.06 ,         0.41 ,       3.22 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,False                     ,True              ,True
2024-04-21 17:08:23 ,       3.70 ,         0.37 ,       4.47 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,False                     ,True              ,False
2024-04-21 17:08:27 ,       6.22 ,         0.62 ,       3.16 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,False                     ,False             ,True
2024-04-21 17:08:32 ,       5.31 ,         0.53 ,       4.58 ,True          ,False          ,True       ,False         ,                     5 ,                 0 ,False                     ,False             ,False
2024-04-21 17:08:36 ,       4.06 ,         0.41 ,       3.24 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,True                      ,True              ,True
2024-04-21 17:08:41 ,       3.70 ,         0.37 ,       4.63 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,True                      ,True              ,False
2024-04-21 17:08:45 ,       0.51 ,         0.05 ,       3.23 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,True                      ,False             ,True
2024-04-21 17:08:51 ,       0.78 ,         0.08 ,       5.00 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,True                      ,False             ,False
2024-04-21 17:08:54 ,       4.06 ,         0.41 ,       3.23 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,False                     ,True              ,True
2024-04-21 17:09:00 ,       3.70 ,         0.37 ,       4.67 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,False                     ,True              ,False
2024-04-21 17:09:04 ,       2.47 ,         0.25 ,       3.21 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,False                     ,False             ,True
2024-04-21 17:09:09 ,       2.78 ,         0.28 ,       4.56 ,True          ,False          ,True       ,False         ,                     5 ,                 5 ,False                     ,False             ,False
2024-04-21 17:09:13 ,       4.06 ,         0.41 ,       3.16 ,True          ,False          ,True       ,False         ,                    15 ,                 0 ,True                      ,True              ,True
2024-04-21 17:09:18 ,       3.70 ,         0.37 ,       4.55 ,True          ,False          ,True       ,False         ,                    15 ,                 0 ,True                      ,True              ,False
2024-04-21 17:09:22 ,       0.51 ,         0.05 ,       3.28 ,True          ,False          ,True       ,False         ,                    15 ,                 0 ,True                      ,False             ,True
2024-04-21 17:09:27 ,       0.78 ,         0.08 ,       4.48 ,True          ,False          ,True       ,False         ,                    15 ,                 0 ,True                      ,False             ,False
